what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597672378964
error,log,,,"Error while parsing /Ders3 Overriding/src/Ders3 Overriding.cpp.",1597672379249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672381107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672382307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672400879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672401897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672409016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672455285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597672462555
error,log,,,"Error while parsing /Ders3 Overriding/src/Ders3 Overriding.cpp.",1597672462856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672479150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672616098
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597672616798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672619828
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597672666533
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597672666598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672666698
error,log,,,"Error while parsing /Ders4 Try Catch/src/Ders4 Try Catch.cpp.",1597672667568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672685858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672802495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597672872509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597672903232
error,log,,,"Error while parsing /Ders4 Try Catch/src/Ders4 Try Catch.cpp.",1597672904064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672904778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672904809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672905464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672906699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672913397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597672914168
error,log,,,"Error while parsing /Ders4 Try Catch/src/Ders4 Try Catch.cpp.",1597672914756
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1597672917393
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597672923173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597673000823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597673002057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597673004146
