what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1596789870269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1596789877407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596789879170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596789887945
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1596789888323
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1596789891596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596789894874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596789918186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596789925585
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1596789925948
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1596789929192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596789932817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596790445269
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1596790447129
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1596790447450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596790454094
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596790512530
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596790512599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596790512690
error,log,,,"Error while parsing /Ders2/src/Ders2.cpp.",1596790513379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1596790597260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596790598819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596790600790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596790602148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1596790622074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596790623425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596790631907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596790637406
error,log,,,"Error while parsing /Ders2/src/Ders2.cpp.",1596790637720
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1596790639207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596790639508
error,log,,,"Error while parsing /Ders2/src/Ders2.cpp.",1596790641309
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1596790641598
